Name,gender,HighestFunction,Party,Birth Date,is_worthy_to_be_guessed
Philippe Juvin,H,Député,Les Républicains,1964,False
Mansour Kamardine,H,Député,Les Républicains,1959,False
Marietta Karamanli,F,Député,Divers Gauche,1964,False
Rachel Keke,F,Député,La France Insoumise,1974,False
Fatiha Keloua-Hachi,F,Député,Parti Socialiste,1971,False
Andy Kerbrat,H,Député,La France Insoumise,1990,False
Loïc Kervran,H,Député,Horizons,1984,False
Brigitte Klinkert,F,Député,Renaissance,1956,False
Stéphanie Kochert,F,Député,Horizons,1975,False
Daniel Labaronne,H,Député,Renaissance,1955,False
Bastien Lachaud,H,Député,La France Insoumise,1980,False
Emmanuel Lacresse,H,Député,Renaissance,1971,False
Julie Laernoes,F,Député,Europe Écologie Les Verts,1982,False
Maxime Laisney,H,Député,La France Insoumise,1981,False
Amal Amélia Lakrafi,F,Député,Renaissance,1978,False
Luc Lamirault,H,Député,Horizons,1962,False
Virginie Lanlo,F,Député,UDI,1968,False
Hélène Laporte,F,Député,Rassemblement National,1978,False
Mohamed Laqhila,H,Député,MoDem,1959,False
Jean-Charles Larsonneur,H,Député,Renaissance,1984,False
Florence Lasserre,F,Député,MoDem,1974,False
Philippe Latombe,H,Député,MoDem,1975,False
Michel Lauzzana,H,Député,Renaissance,1957,False
Laure Lavalette,F,Député,Rassemblement National,1976,False
Pascal Lavergne,H,Député,Renaissance,1967,False
Sandrine Le Feur,F,Député,Renaissance,1991,False
Marc Le Fur,H,Député,Les Républicains,1956,False
Didier Le Gac,H,Député,Renaissance,1965,False
Arnaud Le Gall,H,Député,La France Insoumise,1980,False
Gilles Le Gendre,H,Député,Renaissance,1958,False
Constance Le Grip,F,Député,Agir,1960,False
Anne Le Hénanff,F,Député,Horizons,1969,False
Annaïg Le Meur,F,Député,Renaissance,1973,False
Christine Le Nabour,F,Député,Renaissance,1964,False
Nicole Le Peih,F,Député,Renaissance,1959,False
Marine Le Pen,F,Député,Rassemblement National,1968,False
Fabrice Le Vigoureux,H,Député,Renaissance,1969,False
Antoine Léaument,H,Député,La France Insoumise,1989,False
Élise Leboucher,F,Député,La France Insoumise,1982,False
Pascal Lecamp,H,Député,MoDem,1958,False
Julie Lechanteux,F,Député,Rassemblement National,1977,False
Jean-Paul Lecoq,H,Député,Parti Communiste Français,1958,False
Vincent Ledoux,H,Député,Renaissance,1966,False
Charlotte Leduc,F,Député,La France Insoumise,1980,False
Mathieu Lefèvre,H,Député,Renaissance,1986,False
Sarah Legrain,F,Député,La France Insoumise,1985,False
Gisèle Lelouis,F,Député,Rassemblement National,1952,False
Didier Lemaire,H,Député,Horizons,1975,False
Patricia Lemoine,F,Député,Agir,1961,False
Hervé de Lépinau,H,Député,Rassemblement National,1969,False
Murielle Lepvraud,F,Député,La France Insoumise,1974,False
Gérard Leseul,H,Député,Parti Socialiste,1960,False
Katiana Levavasseur,F,Député,Rassemblement National,1970,False
Delphine Lingemann,F,Député,MoDem,1972,False
Brigitte Liso,F,Député,Renaissance,1959,False
Christine Loir,F,Député,Rassemblement National,1977,False
Aurélien Lopez-Liguori,H,Député,Rassemblement National,1993,False
Philippe Lottiaux,H,Député,Rassemblement National,1966,False
Alexandre Loubet,H,Député,Rassemblement National,1994,False
Véronique Louwagie,F,Député,Les Républicains,1961,False
Jean-François Lovisolo,H,Député,Renaissance,1968,False
Aude Luquet,F,Député,MoDem,1967,False
Lise Magnier,F,Député,Horizons,1984,False
Sylvain Maillard,H,Député,Renaissance,1974,False
Laurence Maillart-Méhaignerie,F,Député,Renaissance,1967,False
Emmanuel Mandon,H,Député,MoDem,1965,False
Emmanuel Maquet,H,Député,Les Républicains,1968,False
Jacqueline Maquet,F,Député,Résistons !,1949,False
Matthieu Marchio,H,Député,Rassemblement National,1993,False
Louis Margueritte,H,Député,Renaissance,1984,False
Christophe Marion,H,Député,Renaissance,1973,False
Olivier Marleix,H,Député,Les Républicains,1971,False
Sandra Marsaud,F,Député,Renaissance,1974,False
Alexandra Martin,F,Député,Renaissance,1976,False
Didier Martin,H,Député,Renaissance,1956,False
Élisa Martin,F,Député,La France Insoumise,1972,False
Pascale Martin,F,Député,La France Insoumise,1961,False
William Martinet,H,Député,La France Insoumise,1988,False
Michèle Martinez,F,Député,Rassemblement National,1968,False
Denis Masséglia,H,Député,Renaissance,1981,False
Alexandra Masson,F,Député,Rassemblement National,1971,False
Bryan Masson,H,Député,Rassemblement National,1996,False
Max Mathiasin,H,Député,Divers Gauche,1956,False
Frédéric Mathieu,H,Député,La France Insoumise,1977,False
Jean-Paul Mattei,H,Député,MoDem,1954,False
Damien Maudet,H,Député,La France Insoumise,1996,False
Kévin Mauvieux,H,Député,Rassemblement National,1991,False
Marianne Maximi,F,Député,La France Insoumise,1985,False
Stéphane Mazars,H,Député,Renaissance,1969,False
Graziella Melchior,F,Député,Renaissance,1960,False
Joëlle Mélin,F,Député,Rassemblement National,1950,False
Yaël Menache,F,Député,Rassemblement National,1985,False
Thomas Ménagé,H,Député,Rassemblement National,1992,False
Ludovic Mendes,H,Député,Renaissance,1987,False
Lysiane Métayer,F,Député,Résistons !,1963,False
Sophie Mette,F,Député,MoDem,1959,False
Frédérique Meunier,F,Député,Les Républicains,1960,False
Manon Meunier,F,Député,La France Insoumise,1996,False
Pierre Meurin,H,Député,Rassemblement National,1989,False
Marjolaine Meynier-Millefert,F,Député,Résistons !,1982,False
Paul Midy,H,Député,Renaissance,1983,False
Laure Miller,F,Député,Renaissance,1983,False
Bruno Millienne,H,Député,MoDem,1959,False
Maxime Minot,H,Député,Les Républicains,1987,False
Yannick Monnet,H,Député,Parti Communiste Français,1975,False
Véronique de Montchalin,F,Député,Renaissance,1948,False
Morel,H,Député,MoDem,1995,False
Benoît Mournet,H,Député,Renaissance,1986,False
Naïma Moutchou,F,Député,Horizons,1980,False
Serge Muller,H,Député,Rassemblement National,1976,False
Christophe Naegelen,H,Député,Divers Droite,1983,False
Philippe Naillet,H,Député,Parti Socialiste,1960,False
Yannick Neuder,H,Député,Les Républicains,1969,False
Jérôme Nury,H,Député,Les Républicains,1972,False
Danièle Obono,F,Député,La France Insoumise,1980,False
Julien Odoul,H,Député,Rassemblement National,1985,False
Karl Olive,H,Député,Renaissance,1969,False
Hubert Ott,H,Député,MoDem,1964,False
Nathalie Oziol,F,Député,La France Insoumise,1990,False
Nicolas Pacquot,H,Député,Renaissance,1978,False
Didier Padey,H,Député,MoDem,1965,False
Jimmy Pahun,H,Député,MoDem,1962,False
Bertrand Pancher,H,Député,Divers Centre,1958,False
Laurent Panifous,H,Député,Divers Gauche,1976,False
Sophie Panonacle,F,Député,Renaissance,1968,False
Astrid Panosyan-Bouvet,F,Député,Renaissance,1971,False
Mathilde Panot,F,Député,La France Insoumise,1989,False
Didier Parakian,H,Député,Renaissance,1964,False
Didier Paris,H,Député,Renaissance,1954,False
Mathilde Paris,F,Député,Rassemblement National,1985,False
Caroline Parmentier,F,Député,Rassemblement National,1965,False
Charlotte Parmentier-Lecocq,F,Député,Renaissance,1977,False
Francesca Pasquini,F,Député,Europe Écologie Les Verts,1981,False
Jérémie Patrier-Leitus,H,Député,Horizons,1989,False
Emmanuel Pellerin,H,Député,Renaissance,1970,False
Isabelle Périgault,F,Député,Les Républicains,1971,False
Patrice Perrot,H,Député,Renaissance,1964,False
Anne-Laurence Petel,F,Député,Renaissance,1970,False
Christelle Petex-Levet,F,Député,Les Républicains,1980,False
Bertrand Petit,H,Député,Parti Socialiste,1964,False
Frédéric Petit,H,Député,MoDem,1961,False
Maud Petit,F,Député,MoDem,1971,False
Stéphane Peu,H,Député,Parti Communiste Français,1962,False
Michèle Peyron,F,Député,Résistons !,1961,False
Kévin Pfeffer,H,Député,Rassemblement National,1990,False
Anna Pic,F,Député,Parti Socialiste,1978,False
René Pilato,H,Député,La France Insoumise,1962,False
François Piquemal,H,Député,La France Insoumise,1984,False
Christine Pirès-Beaune,F,Député,Parti Socialiste,1964,False
Béatrice Piron,F,Député,Renaissance,1965,False
Christophe Plassard,H,Député,Horizons,1967,False
Marie Pochon,F,Député,Europe Écologie Les Verts,1990,False
Lisette Pollet,F,Député,Rassemblement National,1968,False
Jean-Pierre Pont,H,Député,Renaissance,1950,False
Thomas Portes,H,Député,La France Insoumise,1985,False
Alexandre Portier,H,Député,Les Républicains,1990,False
Dominique Potier,F,Député,Parti Socialiste,1964,False
Josy Poueyto,F,Député,MoDem,1954,False
Éric Poulliat,H,Député,Renaissance,1974,False
Marie-Agnès Poussier-Winsback,F,Député,Horizons,1967,False
Natalia Pouzyreff,F,Député,Renaissance,1961,False
Philippe Pradal,H,Député,Horizons,1963,False
Aurélien Pradié,H,Député,Les Républicains,1986,False
Loïc Prud'homme,H,Député,La France Insoumise,1969,False
Adrien Quatennens,H,Député,La France Insoumise,1990,False
Valérie Rabault,F,Député,Parti Socialiste,1973,False
Stéphane Rambaud,H,Député,Rassemblement National,1960,False
Richard Ramos,H,Député,MoDem,1968,False
Angélique Ranc,F,Député,Rassemblement National,1988,False
Julien Rancoule,H,Député,Rassemblement National,1993,False
Jean-Claude Raux,H,Député,Europe Écologie Les Verts,1967,False
Nicolas Ray,H,Député,Les Républicains,1981,False
Rémy Rebeyrotte,H,Député,Résistons !,1966,False
Robin Reda,H,Député,Renaissance,1991,False
Sandra Regol,F,Député,Europe Écologie Les Verts,1978,False
Davy Rimane,H,Député,Divers Gauche,1979,False
Véronique Riotton,F,Député,Renaissance,1969,False
Stéphanie Rist,F,Député,Renaissance,1973,False
Marie-Pierre Rixain,F,Député,Renaissance,1977,False
Laurence Robert-Dehault,F,Député,Rassemblement National,1964,False
Charles Rodwell,H,Député,Agir,1996,False
Vincent Rolland,H,Député,Les Républicains,1970,False
Sébastien Rome,H,Député,La France Insoumise,1978,False
Xavier Roseren,H,Député,Renaissance,1970,False
Claudia Rouaux,F,Député,Parti Socialiste,1963,False
Béatrice Roullaud,F,Député,Rassemblement National,1960,False
Sandrine Rousseau,F,Député,Europe Écologie Les Verts,1972,False
Fabien Roussel,H,Député,Parti Communiste Français,1969,False
Jean-François Rousset,H,Député,Renaissance,1952,False
Lionel Royer-Perreaut,H,Député,Divers Droite,1972,False
Thomas Rudigoz,H,Député,Renaissance,1971,False
Anaïs Sabatini,F,Député,Rassemblement National,1990,False
Alexandre Sabatou,H,Député,Rassemblement National,1993,False
Benjamin Saint-Huile,H,Député,Divers Gauche,1983,False
Laetitia Saint-Paul,F,Député,Renaissance,1981,False
Aurélien Saintoul,H,Député,La France Insoumise,1988,False
Michel Sala,H,Député,La France Insoumise,1954,False
Émeric Salmon,H,Député,Rassemblement National,1973,False
Nicolas Sansu,H,Député,Parti Communiste Français,1968,False
Isabelle Santiago,F,Député,Parti Socialiste,1965,False
Éva Sas,F,Député,Europe Écologie Les Verts,1970,False
Hervé Saulignac,H,Député,Parti Socialiste,1970,False
Raphaël Schellenberger,H,Député,Les Républicains,1990,False
Philippe Schreck,H,Député,Rassemblement National,1972,False
Sabrina Sebaihi,F,Député,Europe Écologie Les Verts,1981,False
Vincent Seitlinger,H,Député,Les Républicains,1987,False
Mikaele Seo,F,Député,Renaissance,1971,False
Nathalie Serre,F,Député,Les Républicains,1968,False
Danielle Simonnet,F,Député,La France Insoumise,1971,False
Charles Sitzenstuhl,H,Député,Agir,1988,False
Bertrand Sorre,H,Député,Renaissance,1965,False
Ersilia Soudais,F,Député,La France Insoumise,1988,False
Violette Spillebout,F,Député,Renaissance,1972,False
Anne Stambach-Terrenoir,F,Député,La France Insoumise,1980,False
Bruno Studer,H,Député,Renaissance,1978,False
Michèle Tabarot,F,Député,Les Républicains,1962,False
Aurélien Taché,H,Député,Europe Écologie Les Verts,1984,False
Emmanuel Taché de La Pagerie,H,Député,Rassemblement National,1975,False
Jean-Pierre Taite,H,Député,Les Républicains,1962,False
Jean-Philippe Tanguy,H,Député,Rassemblement National,1986,False
Liliana Tanguy,F,Député,Renaissance,1967,False
Sarah Tanzilli,F,Député,Renaissance,1985,False
David Taupiac,H,Député,Divers Gauche,1975,False
Andrée Taurinya,F,Député,La France Insoumise,1963,False
Matthias Tavel,H,Député,La France Insoumise,1987,False
Michaël Taverne,H,Député,Rassemblement National,1979,False
Jean-Marc Tellier,H,Député,Parti Communiste Français,1969,False
Jean Terlier,H,Député,Renaissance,1977,False
Jean-Louis Thiériot,H,Député,Les Républicains,1969,False
Nicolas Thierry,H,Député,Europe Écologie Les Verts,1975,False
Sabine Thillaye,F,Député,MoDem,1959,False
Mélanie Thomin,F,Député,Parti Socialiste,1984,False
Huguette Tiegna,F,Député,Renaissance,1982,False
Lionel Tivoli,H,Député,Rassemblement National,1988,False
Stéphane Travert,H,Député,Renaissance,1969,False
Aurélie Trouvé,F,Député,La France Insoumise,1979,False
Nicolas Turquois,H,Député,MoDem,1972,False
Cécile Untermaier,F,Député,Parti Socialiste,1951,False
Isabelle Valentin,F,Député,Les Républicains,1962,False
Boris Vallaud,H,Député,Parti Socialiste,1975,False
Pierre Vatin,H,Député,Les Républicains,1967,False

Olivier Véran,H,Député,Renaissance,1980,False
Antoine Vermorel-Marques,H,Député,Les Républicains,1993,False
Laurence Vichnievsky,F,Député,MoDem,1955,False
Roger Vicot,H,Député,Parti Socialiste,1963,False
Annie Vidal,F,Député,Renaissance,1956,False
Jean-Pierre Vigier,H,Député,Les Républicains,1969,False
Philippe Vigier,H,Député,MoDem,1958,False
Patrick Vignal,H,Député,Renaissance,1958,False
Corinne Vignon,F,Député,Renaissance,1963,False
Juliette Vilgrain,F,Député,Horizons,1960,False
Antoine Villedieu,H,Député,Rassemblement National,1989,False
André Villiers,H,Député,Horizons,1954,False
Alexandre Vincendet,H,Député,Les Républicains,1983,False
Anne-Cécile Violland,F,Député,Horizons,1973,False
Stéphane Viry,H,Député,Les Républicains,1969,False
Stéphane Vojetta,H,Député,Divers Centre,1974,False
Lionel Vuibert,H,Député,Agir,1968,False
Guillaume Vuilletet,H,Député,Renaissance,1967,False
Léo Walter,H,Député,La France Insoumise,1972,False
Jean-Luc Warsmann,H,Député,Divers Droite,1965,False
Christopher Weissberg,H,Député,Renaissance,1985,False
Jiovanny William,H,Député,Divers Gauche,1985,False
Éric Woerth,H,Député,Divers Droite,1956,False
Caroline Yadan,F,Député,Renaissance,1968,False
Estelle Youssouffa,F,Député,Divers Droite,1978,False
Jean-Marc Zulesi,H,Député,Renaissance,1988,False
