Nicolas Dupont-Aignan,H,7 mars 1961,Debout la France,Chef de parti,hint,"a refusé de rejoindre l’UMP en 2007 et a fondé son propre parti, se positionnant comme un souverainiste farouche.",https://en.wikipedia.org/wiki/Nicolas_Dupont-Aignan
Florian Philippot,H,24 octobre 1981,Les Patriotes,Chef de parti,hint,ancien bras droit de Marine Le Pen,https://en.wikipedia.org/wiki/Florian_Philippot
Yannick Jadot,H,27 juillet 1967,Europe Écologie Les Verts,Chef de parti,hint,ancien militant de Greenpeace,https://en.wikipedia.org/wiki/Yannick_Jadot
Stanislas Guerini,H,14 mai 1982,Renaissance,Ministre,hint,"Délégué général de La République en Marche depuis 2018, il est proche d’Emmanuel Macron depuis la création du mouvement.",https://en.wikipedia.org/wiki/Stanislas_Guerini
Jordan Bardella,H,13 septembre 1995,Rassemblement National,Chef de parti,hint,aurait mis un Quickscope à Squeezie sur Call of Duty,https://en.wikipedia.org/wiki/Jordan_Bardella
Fabien Roussel,H,16 avril 1969,Parti Communiste Français,Chef de parti,hint,Secrétaire national du PCF,https://en.wikipedia.org/wiki/Fabien_Roussel
Laurent Wauquiez,H,12 avril 1975,Les Républicains,Ministre,hint,A souvent été vu portant une parka rouge,https://en.wikipedia.org/wiki/Laurent_Wauquiez
Eric Ciotti,H,28 septembre 1965,Les Républicains,Chef de parti,hint,s'enferme dans son bureau,https://en.wikipedia.org/wiki/Eric_Ciotti
Eric Zemmour,H,31 août 1958,Reconquête,Chef de parti,quote,oh comme c'est bizarre !,https://en.wikipedia.org/wiki/Eric_Zemmour
Louis Boyard,H,26 aout 2000,La France Insoumise,Député,hint,En mauvais termes avec Cyril Hanouna,https://en.wikipedia.org/wiki/Louis_Boyard
Sandrine Rousseau,F,25 janvier 1972,Europe Écologie Les Verts,Député,hint,salive sur ton livret A,https://en.wikipedia.org/wiki/Sandrine_Rousseau
Mathilde Panot,F,15 janvier 1989,La France Insoumise,Député,hint,serait plus expérimentée que Léon Blum,https://en.wikipedia.org/wiki/Mathilde_Panot
Yaël Braun-Pivet,F,7 Décembre 1970,Renaissance,Député,hint,Première femme présidente de l'Assemblée Nationale,https://en.wikipedia.org/wiki/Yaël_Braun-Pivet
Clémence Guetté,F,15 Mars 1991,La France Insoumise,Député,hint,fait des memes politiques sur twitter,https://en.wikipedia.org/wiki/Clémence_Guetté
Olivier Faure,H,18 août 1968,Parti Socialiste,Député,hint,"Premier secrétaire du Parti Socialiste depuis 2018, il a mené la refondation du parti après la défaite de 2017.",https://en.wikipedia.org/wiki/Olivier_Faure
Manon Aubry,F,22 juillet 1989,La France Insoumise,Député,hint,engagée contre l'évasion fiscale.,https://en.wikipedia.org/wiki/Manon_Aubry
Clémentine Autain,F,26 Mai 1973,La France Insoumise,Député,hint,également journaliste,https://en.wikipedia.org/wiki/Clémentine_Autain
François Ruffin,H,18 octobre 1975,Picardie debout !,Député,hint,a quitté LFI,https://en.wikipedia.org/wiki/François_Ruffin
Alexis Corbière,H,17 août 1968,L'Après,Député,hint,a quitté LFI,https://en.wikipedia.org/wiki/Alexis_Corbière
Marion Maréchal Le Pen,F,10 décembre 1989,Rassemblement National,Député,hint,nièce d'une célèbre politicienne,https://en.wikipedia.org/wiki/Marion_Maréchal_Le_Pen
